istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
194,208,0.6094689747964199,0.653451271946677,4.347124905558382e-06,2.608540720623775e-09,7.419187486590317e-09,0.04398229715025703,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
280,289,0.8796459430051421,0.9079202768874503,1.45175579065232e-06,2.166547083181326e-09,3.1472435768620244e-09,0.028274333882308156,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
305,316,0.9581857593448869,0.9927432785343747,3.1231093779879236e-06,2.6371731642954326e-09,5.168256711485242e-09,0.034557519189487795,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
379,390,1.1906636157105317,1.2252211349000195,2.7236940353785046e-06,2.3673302893291464e-09,5.208406594903181e-09,0.034557519189487795,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
395,404,1.2409290981679684,1.2692034320502765,1.7639444820643527e-06,2.085422943386119e-09,4.0252661204220885e-09,0.028274333882308156,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
415,427,1.3037609512397643,1.3414600630828417,1.0976305555398457e-06,2.6249438025836364e-09,1.894703949290033e-09,0.03769911184307739,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
470,487,1.4765485471872029,1.5299556222982293,1.1804403531146238e-06,2.782224249564355e-09,1.8562176240521921e-09,0.05340707511102649,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
586,600,1.8409732950036188,1.884955592153876,6.389470932825498e-06,2.627998907749482e-09,1.0653113946546e-08,0.043982297150257255,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
629,643,1.97606177910798,2.020044076258237,2.5851130832380124e-05,2.014156365059165e-09,6.168995914102027e-08,0.04398229715025703,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
656,666,2.0608847807549044,2.092300707290802,2.219606482305042e-06,1.9957038146669748e-09,5.351997067748471e-09,0.031415926535897754,2000.0,23.283377707792138,57.28165564606986,3,13.0,16.0,17.0,-2.2690475552457956,-1.732575780043272,-2.482241241657226,267.1044095406484,25.971212637685976,153.06306064698782
